ADDRESS, HALO, VET, DBET, VTHO, HXRO, HST, EVED, ZRX, PEG, OMG, USDC, BAT, BTC, FLASH, HETH, FCT, uDOO
0xf44851e52436747CDa61d922ecfabBFfb35e363C, 1200000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x4AbF48Bd91b8aEBC9fBC2C93E94146A436e5d2a4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x5294A816063b9141A109Bb7B39B945bAc36D8F7c, 1000200000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x37b4D1820453f49F85D84d9A86Ef341B81AeC5a3, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x91E0BE4f8a30D9A1eaB2495A25E0f00C1eb42897, 2501143326000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xC8016C038684607F6815AbDa9Fd0D4d920CBA11E, 500200000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xc1F9bDF8B364606798Ac6986Aa4609539e776eA1, 845000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xA93Ecef5E69ca9F2dD058a37a8519322a766df93, 1000200000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x6709238615509Df0bE0E5cC8733ded33786AcfCD, 501888000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x2f2D42e3AB6314e567e39d9c46Abb5d34740A6c7, 500200000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x9516cfAD6C45c2F2b93b7c0F7B05297E24215A2E, 500200000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xC16fB751f36f1E059c785D2d963F9177e68ba276, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x458B7d6daaE6bB14200F91642a1ae00d1898Cd01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xF65d2181d8D8F69338237c20903457b011380632, 1020000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x0349bD269251e90F5722bf3278A34cfA16b3323D, 50000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x595535F181Dd3ef0e6b1f6deB42c847cBD9BA5af, 10000200000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x4d8e7024d263d60545c9F48C385a13613aF87222, 7500200000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x2b8ee03afA93E93C91fA5f4195E742301f132aAA, 549000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x40038AB1740679cB9B8175BC5615540FC7438A66, 472000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xa9Bf470485521737f44ff149426486385B15ed2b, 1300000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x2Bdb154233F1730888da3E736c1a46Df4E5ff5d9, 60000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x094968e3F5d4504E4b680e81e58CeC7053A946b8, 10000200000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22
0:00:11.560622
