8131
Address, ETHER
('0x86ed2a38aa6410632C0a7d54172361Ec2C11F47A', Decimal('116688.6527464'))
('0x7a5cA7cC8f8Fb0389a30860F108Dc1309c94BfdF', Decimal('115690'))
('0x69b1B091671B8aB7E32a1Df3C41Cdb4D164fa0B4', Decimal('113217.9248438864994065'))
('0x6e41b3eAa1109809d910497c5afD795DB6A5d2bd', Decimal('109574.265018333'))
('0x7EA0b7192C4bbBF38919E22D9115978CF2A270f3', Decimal('109456.293708839'))
('0xF7aE82971b15881b3f3dFac6a4DB86943a13A0f3', Decimal('106445.3928632'))
('0x2A6103B773aB2866a71eFCbB2aD573A0378b5683', Decimal('105495.665313753'))
('0x1b758dE428B1dE0681DEd982b28E4952F30FcB6a', Decimal('100002.433407655784206814'))
('0x734627F329C7Eb2D64477585F0ddb667ea1FCA7c', Decimal('99961.645671331'))
('0x7929A1e2328D106F4812e802c406C50815aa93B9', Decimal('97477.599409402540372'))
('0x99B304DE91C5E65A5FAAbAf7365a9b2d3AB8ED3B', Decimal('90443.36143120358812221'))
('0x52b8D359052065ECf31b176dFbcbe689D1803f31', Decimal('89000.41887391232786483'))
('0xb0d4b8fdfd0482f3058169A6CeDC2A36793F71A4', Decimal('88385.107097203933827386'))
('0x4915A5062AeBCD0d08D22488Dd45F84D47aE98A7', Decimal('87438.166350701180302'))
('0x05F1DDcE1a082572F0Dc5E84e988ff314b566536', Decimal('86276.3605882'))
('0x7629aA626F48cbbC87441028174c1AD48ef33309', Decimal('85094.962579676'))
('0xF921AB3685FA49f4F8E9E747DD0DEA4240F817F1', Decimal('84883.4103572'))
('0x05DeB154f583159aC374cE10EB960Efe865164D1', Decimal('82343.841096029933428'))
('0x815590741E0E2545740FFa6fB71A85Cc4D4D56f7', Decimal('80291.741130142672653404'))
('0x866E0d765d2E426627E045EaF4d811Eab1B0f72b', Decimal('79636.9727872135'))
('0xF4AAD5eb9278C14E6903739ede6cAEECaabF71D2', Decimal('77113.631734100847273'))
('0x70eC11ef005870d29d3f5DA9e9E994245dB0308e', Decimal('74192.276324916'))
('0x812BE1CD0B1559bD444b6015669fF2802E7380f2', Decimal('72238.879686'))
('0x5De35a1aA3A07c5272ab55ee2Da655797d381784', Decimal('71999.994'))
('0x25c82be38c84dA2414B35B46c9Ebc4EcC7dad83D', Decimal('70479.947262890896149572'))
('0xCfc6A394a8fac4aef51dF0B35692c749bb28E856', Decimal('69292.221502674095232'))
('0xb67d435670EeE73C1Bbb5708cf44DC3D9A73741D', Decimal('68744.23779602584711'))
('0xeE71fcF0FbE6B07862cf9898a8e7b5cebE06FE3b', Decimal('68621.317280298815346186'))
('0xB873F83beAFD3BdF2E94C258938289DA6dCeB2fb', Decimal('67947.9872680726601986'))
('0x2F7D8E072f614D321Ea8Dd77791E18d745Aa4e84', Decimal('66351.013449927'))
('0x37114E189DA0f9624D359455ACd8D06261077D63', Decimal('65983.141217650843681'))
('0xf2E5dEAB119Be9b5c132C57E2Dd112f0fD746ce7', Decimal('64057.0111389496173499'))
('0xc91Fc51124bdf9E2010Eb366da97a0b67B70E1f5', Decimal('64052.600457800237395583'))
('0x99A43f2ABEB8097F01576194A9813Ecd18bE4e31', Decimal('63411.244319864420721502'))
('0x9Cac5afA0ED343Fb54Dd57141D33A6BEab66Eab7', Decimal('62711.93116965123846'))
('0x55dC97B974bEAF3D4287ca5B3979622C60C4bf36', Decimal('62368.918627974442658'))
