ADDRESS, HALO, VET, DBET, VTHO, HXRO, HST, EVED, ZRX, PEG, OMG, USDC, BAT, BTC, FLASH, HETH, FCT, uDOO
0x79Ae79a49f5E2502b65Ab2d7Dbed0C0847744497, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x3C773Cd2E8b581c7832E1484A77424F3E4D26B08, 142477401753091071057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x7B6B2e318B3b46CBfe3D487c48b1D0E9753D3634, 2500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x10729974b1035E53098F4967468ebc8C235B10E4, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x02f21086276ea48B3e533023ADe38F3c579a3BC2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x464B01a01C8C466dDE6a5a07b7B76041b60823c2, 1000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x3CDb02BC0044c9899347C206935d7765207A21F8, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x9749194a9F42f929c2733891d56727cF25171bb7, 12439725419783460488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x9a14fAeA254457b61Fd943813689C49536Bb0E64, 1000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x02c6d1a4B87f39429300C11aa2a5232577a5Fd69, 7500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x9E7B06Bc138ce5539a0fA14e9C5AA40fA1EB5DEd, 506916622803717810067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x0fdD5056dB50c8C72fF1ac0fa3249894E818a51d, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xb30D4caA7Cb0D24D254e195ac4eeBba1bbce6Dcd, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x19e2Dfb20FF2E6DD27Ff9255c5Efc525AE73510a, 2500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x3CE56f844D4222C2E890eCA68d18E7BB6CA4fE9d, 3226000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xA281A9933E536118EC4eb1A0B673Ed0687C5f86E, 86000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x905237A236fdEF2FfB553D351295e279b2762349, 2500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x504Ae6EF840946ec2536c01AE7F9305561b02A41, 2500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x212e909fB3F537bECe948B3777151EC1FEF5D984, 1000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
